X,Y
100.000000,0.000000
99.719000,0.121000
98.938000,0.473000
97.751000,0.986000
96.173000,1.553000
94.164000,2.126000
91.717000,2.709000
88.861000,3.301000
85.624000,3.885000
82.039000,4.451000
78.141000,4.985000
73.968000,5.480000
69.562000,5.921000
64.967000,6.304000
60.229000,6.617000
55.394000,6.857000
50.509000,7.016000
45.624000,7.094000
40.786000,7.084000
36.043000,6.990000
31.441000,6.809000
27.026000,6.545000
22.840000,6.198000
18.920000,5.775000
15.304000,5.280000
12.023000,4.723000
9.103000,4.111000
6.568000,3.457000
4.435000,2.775000
2.714000,2.083000
1.416000,1.404000
0.536000,0.766000
0.076000,0.218000
0.055000,-0.141000
0.557000,-0.306000
1.651000,-0.330000
3.316000,-0.227000
5.550000,-0.004000
8.342000,0.315000
11.671000,0.708000
15.504000,1.151000
19.800000,1.620000
24.509000,2.093000
29.574000,2.546000
34.931000,2.962000
40.513000,3.319000
46.247000,3.605000
52.056000,3.803000
57.859000,3.907000
63.576000,3.907000
69.125000,3.806000
74.430000,3.604000
79.414000,3.310000
84.004000,2.930000
88.132000,2.482000
91.735000,1.979000
94.756000,1.439000
97.115000,0.887000
98.754000,0.410000
99.695000,0.102000
100.000000,0.000000
