Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-E63-100000-n5
Airfoil,E63
Reynolds number,100000
Ncrit,5
Mach,0.0
Max Cl/Cd,77.9158
Max Cl/Cd alpha,4.2
Clmax,1.4680
Clmax alpha,9
Stall alpha,9


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.000,-0.4884,0.19043,0.18478,-0.0088,1.0000,0.0155
-14.750,-0.4821,0.18792,0.18228,-0.0097,1.0000,0.0155
-14.500,-0.4769,0.18560,0.17999,-0.0109,1.0000,0.0156
-14.250,-0.4712,0.18292,0.17732,-0.0119,1.0000,0.0156
-14.000,-0.4672,0.18095,0.17535,-0.0133,1.0000,0.0157
-13.750,-0.4614,0.17766,0.17210,-0.0139,1.0000,0.0157
-13.500,-0.4541,0.17243,0.16687,-0.0135,1.0000,0.0161
-13.250,-0.4484,0.16964,0.16408,-0.0142,1.0000,0.0161
-13.000,-0.4429,0.16667,0.16113,-0.0147,1.0000,0.0162
-12.750,-0.4375,0.16347,0.15795,-0.0151,1.0000,0.0169
-12.500,-0.4323,0.16054,0.15503,-0.0156,1.0000,0.0171
-12.250,-0.4269,0.15798,0.15249,-0.0162,1.0000,0.0171
-12.000,-0.4220,0.15495,0.14947,-0.0167,1.0000,0.0181
-11.750,-0.4170,0.15220,0.14674,-0.0172,1.0000,0.0181
-11.500,-0.4119,0.14945,0.14402,-0.0177,1.0000,0.0184
-11.250,-0.4072,0.14664,0.14123,-0.0181,1.0000,0.0184
-11.000,-0.4025,0.14384,0.13846,-0.0186,1.0000,0.0190
-10.750,-0.3978,0.14129,0.13593,-0.0190,1.0000,0.0194
-10.500,-0.3938,0.13841,0.13308,-0.0195,1.0000,0.0201
-10.250,-0.3885,0.13600,0.13064,-0.0196,1.0000,0.0192
-10.000,-0.3860,0.13354,0.12830,-0.0205,1.0000,0.0206
-9.750,-0.3825,0.13113,0.12587,-0.0209,1.0000,0.0207
-9.500,-0.3816,0.12940,0.12419,-0.0217,1.0000,0.0208
-9.250,-0.3767,0.12616,0.12100,-0.0215,1.0000,0.0210
-9.000,-0.3713,0.12249,0.11734,-0.0205,1.0000,0.0221
-8.750,-0.3703,0.12213,0.11702,-0.0217,1.0000,0.0208
-8.500,-0.3666,0.11752,0.11247,-0.0205,1.0000,0.0246
-8.250,-0.3630,0.11528,0.11028,-0.0202,1.0000,0.0219
-8.000,-0.3611,0.11296,0.10801,-0.0198,1.0000,0.0238
-7.750,-0.3593,0.11085,0.10591,-0.0193,1.0000,0.0237
-7.500,-0.3587,0.10865,0.10378,-0.0187,1.0000,0.0234
-7.250,-0.3588,0.10657,0.10176,-0.0179,1.0000,0.0236
-7.000,-0.3798,0.10828,0.10365,-0.0185,1.0000,0.0257
-6.750,-0.3706,0.10461,0.09995,-0.0160,1.0000,0.0254
-6.500,-0.3699,0.10236,0.09776,-0.0159,1.0000,0.0255
-6.250,-0.3685,0.09943,0.09491,-0.0158,1.0000,0.0261
-6.000,-0.3656,0.09621,0.09173,-0.0140,1.0000,0.0275
-5.750,-0.3616,0.09393,0.08951,-0.0146,1.0000,0.0272
-5.500,-0.3572,0.09115,0.08679,-0.0152,1.0000,0.0294
-5.250,-0.3505,0.08880,0.08440,-0.0162,1.0000,0.0292
-5.000,-0.3314,0.08586,0.08156,-0.0242,1.0000,0.0317
-4.750,-0.3228,0.08340,0.07906,-0.0243,1.0000,0.0315
-4.500,-0.2849,0.07833,0.07398,-0.0353,0.9970,0.0325
-4.250,-0.2685,0.07385,0.06950,-0.0359,0.9941,0.0351
-4.000,-0.2325,0.06994,0.06556,-0.0438,0.9907,0.0367
-3.750,-0.1600,0.06435,0.05977,-0.0638,0.9876,0.0400
-3.500,-0.1395,0.06010,0.05556,-0.0652,0.9847,0.0421
-3.250,-0.0578,0.05429,0.04945,-0.0852,0.9830,0.0477
-3.000,-0.0375,0.05115,0.04635,-0.0858,0.9805,0.0500
-2.750,0.0242,0.04626,0.04121,-0.0980,0.9791,0.0575
-2.500,0.0751,0.04236,0.03713,-0.1064,0.9775,0.0673
-2.250,0.1600,0.03521,0.02932,-0.1204,0.9807,0.0303
-2.000,0.2257,0.03046,0.02398,-0.1297,0.9821,0.0238
-1.750,0.2858,0.02678,0.01953,-0.1369,0.9835,0.0216
-1.500,0.3377,0.02430,0.01621,-0.1417,0.9841,0.0208
-1.250,0.3810,0.02280,0.01439,-0.1452,0.9832,0.0216
-1.000,0.4227,0.02170,0.01296,-0.1480,0.9817,0.0253
-0.750,0.4649,0.02068,0.01182,-0.1510,0.9806,0.0274
-0.500,0.5039,0.02008,0.01107,-0.1534,0.9770,0.0318
-0.250,0.5459,0.01950,0.01047,-0.1565,0.9743,0.0580
0.000,0.5794,0.01727,0.01046,-0.1579,0.9733,1.0000
0.100,0.5911,0.01731,0.01037,-0.1581,0.9697,1.0000
0.200,0.6056,0.01735,0.01026,-0.1588,0.9672,1.0000
0.400,0.6327,0.01743,0.01015,-0.1599,0.9615,1.0000
0.500,0.6474,0.01745,0.01007,-0.1605,0.9589,1.0000
0.600,0.6630,0.01747,0.01002,-0.1615,0.9571,1.0000
0.700,0.6737,0.01749,0.00999,-0.1614,0.9525,1.0000
0.800,0.6886,0.01749,0.00994,-0.1622,0.9501,1.0000
0.900,0.7017,0.01749,0.00988,-0.1626,0.9464,1.0000
1.000,0.7150,0.01749,0.00984,-0.1630,0.9431,1.0000
1.100,0.7305,0.01746,0.00978,-0.1639,0.9408,1.0000
1.200,0.7416,0.01747,0.00977,-0.1639,0.9361,1.0000
1.300,0.7559,0.01743,0.00971,-0.1645,0.9332,1.0000
1.400,0.7693,0.01740,0.00966,-0.1649,0.9296,1.0000
1.500,0.7821,0.01737,0.00962,-0.1652,0.9255,1.0000
1.700,0.8082,0.01728,0.00953,-0.1658,0.9177,1.0000
1.800,0.8233,0.01719,0.00944,-0.1665,0.9147,1.0000
1.900,0.8350,0.01717,0.00946,-0.1665,0.9098,1.0000
2.000,0.8493,0.01706,0.00935,-0.1670,0.9061,1.0000
2.100,0.8610,0.01702,0.00933,-0.1670,0.9011,1.0000
2.200,0.8752,0.01690,0.00923,-0.1675,0.8972,1.0000
2.300,0.8868,0.01684,0.00920,-0.1674,0.8918,1.0000
2.500,0.9124,0.01661,0.00903,-0.1676,0.8814,1.0000
2.600,0.9270,0.01645,0.00890,-0.1681,0.8774,1.0000
2.700,0.9385,0.01639,0.00891,-0.1680,0.8707,1.0000
2.800,0.9503,0.01630,0.00886,-0.1679,0.8641,1.0000
2.900,0.9646,0.01615,0.00874,-0.1682,0.8584,1.0000
3.000,0.9779,0.01602,0.00866,-0.1684,0.8511,1.0000
3.100,0.9903,0.01593,0.00862,-0.1684,0.8432,1.0000
3.200,1.0039,0.01580,0.00854,-0.1686,0.8346,1.0000
3.300,1.0181,0.01566,0.00844,-0.1689,0.8255,1.0000
3.400,1.0328,0.01551,0.00838,-0.1693,0.8156,1.0000
3.500,1.0490,0.01535,0.00827,-0.1700,0.8049,1.0000
3.600,1.0645,0.01522,0.00818,-0.1705,0.7918,1.0000
3.700,1.0834,0.01504,0.00804,-0.1717,0.7768,1.0000
3.800,1.1012,0.01492,0.00793,-0.1727,0.7584,1.0000
3.900,1.1185,0.01483,0.00784,-0.1735,0.7358,1.0000
4.000,1.1363,0.01479,0.00776,-0.1745,0.7097,1.0000
4.100,1.1523,0.01484,0.00779,-0.1751,0.6799,1.0000
4.200,1.1664,0.01497,0.00783,-0.1753,0.6476,1.0000
4.300,1.1782,0.01519,0.00793,-0.1752,0.6141,1.0000
4.400,1.1884,0.01547,0.00808,-0.1747,0.5798,1.0000
4.500,1.1973,0.01581,0.00827,-0.1741,0.5445,1.0000
4.600,1.2050,0.01619,0.00850,-0.1732,0.5078,1.0000
4.700,1.2113,0.01667,0.00875,-0.1722,0.4644,1.0000
4.800,1.2161,0.01727,0.00904,-0.1708,0.4135,1.0000
4.900,1.2199,0.01796,0.00937,-0.1695,0.3569,1.0000
5.000,1.2234,0.01876,0.00975,-0.1682,0.2949,1.0000
5.100,1.2276,0.01957,0.01022,-0.1671,0.2371,1.0000
5.200,1.2330,0.02024,0.01062,-0.1662,0.1941,1.0000
5.300,1.2390,0.02096,0.01105,-0.1655,0.1522,1.0000
5.400,1.2446,0.02170,0.01152,-0.1647,0.1129,1.0000
5.500,1.2510,0.02235,0.01200,-0.1639,0.0849,1.0000
5.600,1.2575,0.02301,0.01253,-0.1631,0.0631,1.0000
5.700,1.2637,0.02373,0.01314,-0.1622,0.0472,1.0000
5.800,1.2707,0.02436,0.01374,-0.1615,0.0398,1.0000
5.900,1.2773,0.02496,0.01435,-0.1606,0.0356,1.0000
6.000,1.2842,0.02556,0.01498,-0.1597,0.0331,1.0000
6.100,1.2914,0.02608,0.01560,-0.1589,0.0313,1.0000
6.200,1.2986,0.02667,0.01627,-0.1581,0.0295,1.0000
6.300,1.3049,0.02723,0.01690,-0.1571,0.0284,1.0000
6.400,1.3116,0.02787,0.01760,-0.1564,0.0275,1.0000
6.500,1.3170,0.02860,0.01839,-0.1553,0.0268,1.0000
6.600,1.3229,0.02924,0.01909,-0.1543,0.0262,1.0000
6.700,1.3292,0.02989,0.01985,-0.1533,0.0254,1.0000
6.800,1.3365,0.03049,0.02055,-0.1526,0.0244,1.0000
6.900,1.3427,0.03115,0.02129,-0.1517,0.0238,1.0000
7.000,1.3493,0.03168,0.02189,-0.1509,0.0223,1.0000
7.100,1.3560,0.03239,0.02263,-0.1502,0.0213,1.0000
7.200,1.3622,0.03318,0.02355,-0.1493,0.0209,1.0000
7.300,1.3685,0.03406,0.02450,-0.1485,0.0206,1.0000
7.400,1.3748,0.03505,0.02552,-0.1477,0.0202,1.0000
7.500,1.3826,0.03593,0.02648,-0.1471,0.0201,1.0000
7.600,1.3909,0.03707,0.02770,-0.1465,0.0197,1.0000
7.700,1.3997,0.03813,0.02890,-0.1459,0.0195,1.0000
7.800,1.4089,0.03929,0.03020,-0.1455,0.0194,1.0000
7.900,1.4171,0.04042,0.03150,-0.1448,0.0191,1.0000
8.000,1.4260,0.04186,0.03314,-0.1442,0.0189,1.0000
8.100,1.4338,0.04321,0.03468,-0.1435,0.0187,1.0000
8.200,1.4407,0.04459,0.03626,-0.1426,0.0187,1.0000
8.300,1.4467,0.04610,0.03799,-0.1416,0.0184,1.0000
8.400,1.4521,0.04740,0.03953,-0.1406,0.0178,1.0000
