Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e63-20000-n5
Airfoil,e63
Reynolds number,20000
Ncrit,5
Mach,0.0
Max Cl/Cd,28.6439
Max Cl/Cd alpha,6.75


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.000,-0.4987,0.20184,0.18960,-0.0100,1.0000,0.1100
-14.750,-0.4963,0.20090,0.18872,-0.0114,1.0000,0.1117
-14.500,-0.4874,0.19591,0.18377,-0.0118,1.0000,0.1142
-14.250,-0.4804,0.19244,0.18031,-0.0123,1.0000,0.1175
-14.000,-0.4763,0.19033,0.17814,-0.0132,1.0000,0.1210
-13.750,-0.4744,0.18925,0.17714,-0.0144,1.0000,0.1228
-13.500,-0.4659,0.18477,0.17269,-0.0147,1.0000,0.1254
-13.250,-0.4594,0.18133,0.16926,-0.0151,1.0000,0.1295
-13.000,-0.4566,0.17957,0.16757,-0.0160,1.0000,0.1328
-12.750,-0.4536,0.17744,0.16550,-0.0168,1.0000,0.1350
-12.500,-0.4444,0.17306,0.16113,-0.0168,1.0000,0.1396
-12.250,-0.4423,0.17129,0.15944,-0.0175,1.0000,0.1439
-12.000,-0.4385,0.16884,0.15705,-0.0181,1.0000,0.1465
-11.750,-0.4313,0.16494,0.15317,-0.0182,1.0000,0.1532
-11.500,-0.4324,0.16422,0.15255,-0.0190,1.0000,0.1563
-11.250,-0.4221,0.15922,0.14759,-0.0188,1.0000,0.1616
-11.000,-0.4234,0.15826,0.14669,-0.0194,1.0000,0.1673
-10.750,-0.4150,0.15436,0.14284,-0.0195,1.0000,0.1704
-10.500,-0.4136,0.15217,0.14074,-0.0196,1.0000,0.1779
-10.250,-0.4066,0.14840,0.13704,-0.0195,1.0000,0.1833
-10.000,-0.4066,0.14703,0.13573,-0.0197,1.0000,0.1894
-9.750,-0.3990,0.14313,0.13189,-0.0195,1.0000,0.1948
-9.500,-0.4023,0.14220,0.13109,-0.0197,1.0000,0.2012
-9.250,-0.3932,0.13792,0.12674,-0.0191,1.0000,0.2093
-9.000,-0.3935,0.13626,0.12519,-0.0191,1.0000,0.2139
-8.750,-0.3910,0.13367,0.12269,-0.0186,1.0000,0.2229
-8.500,-0.3850,0.13006,0.11917,-0.0180,1.0000,0.2316
-8.250,-0.3832,0.12777,0.11697,-0.0175,1.0000,0.2382
-8.000,-0.3871,0.12656,0.11589,-0.0168,1.0000,0.2459
-7.750,-0.3834,0.12346,0.11289,-0.0158,1.0000,0.2565
-7.500,-0.3809,0.12072,0.11025,-0.0148,1.0000,0.2671
-7.250,-0.3780,0.11800,0.10762,-0.0137,1.0000,0.2772
-7.000,-0.3773,0.11559,0.10534,-0.0124,1.0000,0.2886
-6.750,-0.3750,0.11317,0.10301,-0.0114,1.0000,0.2995
-6.500,-0.3761,0.11070,0.10070,-0.0102,1.0000,0.3150
-6.250,-0.3699,0.10746,0.09757,-0.0087,1.0000,0.3311
-6.000,-0.3696,0.10487,0.09510,-0.0073,1.0000,0.3497
-5.750,-0.3695,0.10288,0.09323,-0.0058,1.0000,0.3696
-5.250,-0.3632,0.09669,0.08723,-0.0009,1.0000,0.4257
-5.000,-0.3547,0.09276,0.08340,0.0026,1.0000,0.4647
-4.500,-0.3281,0.08333,0.07398,0.0132,1.0000,0.6224
-4.250,-0.3069,0.07811,0.06876,0.0156,1.0000,0.6946
-4.000,-0.2983,0.07483,0.06553,0.0166,1.0000,0.7120
-3.750,-0.3020,0.07314,0.06398,0.0187,1.0000,0.7129
-3.500,-0.2133,0.07382,0.06401,-0.0495,1.0000,0.1554
-3.250,-0.1755,0.06944,0.05941,-0.0572,1.0000,0.1330
-3.000,-0.1344,0.06502,0.05481,-0.0652,1.0000,0.1220
-2.750,-0.0836,0.06045,0.04988,-0.0753,1.0000,0.1119
-2.500,-0.0509,0.05704,0.04637,-0.0792,1.0000,0.1079
-2.250,0.0105,0.05243,0.04121,-0.0905,1.0000,0.1002
-2.000,0.0603,0.04875,0.03713,-0.0978,1.0000,0.0970
-1.750,0.1193,0.04514,0.03275,-0.1066,1.0000,0.0950
-1.500,0.1753,0.04205,0.02883,-0.1138,1.0000,0.0955
-1.250,0.2273,0.03968,0.02550,-0.1195,1.0000,0.1012
-1.000,0.2675,0.03790,0.02321,-0.1225,1.0000,0.1173
-0.750,0.3059,0.03640,0.02112,-0.1247,1.0000,0.1295
-0.500,0.3436,0.03498,0.01926,-0.1265,1.0000,0.1573
-0.250,0.3821,0.03352,0.01782,-0.1288,1.0000,0.2216
0.000,0.4112,0.02980,0.01677,-0.1283,1.0000,0.7866
0.250,0.4346,0.03011,0.01571,-0.1272,1.0000,1.0000
0.500,0.4611,0.03061,0.01544,-0.1273,1.0000,1.0000
0.750,0.4871,0.03115,0.01541,-0.1275,1.0000,1.0000
1.000,0.5117,0.03173,0.01557,-0.1276,1.0000,1.0000
1.250,0.5354,0.03235,0.01580,-0.1275,1.0000,1.0000
1.500,0.5586,0.03302,0.01622,-0.1274,1.0000,1.0000
1.750,0.5815,0.03375,0.01676,-0.1274,1.0000,1.0000
2.000,0.6039,0.03454,0.01742,-0.1274,1.0000,1.0000
2.250,0.6256,0.03539,0.01820,-0.1274,1.0000,1.0000
2.500,0.6462,0.03630,0.01910,-0.1272,1.0000,1.0000
