Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-E63-500000-n5
Airfoil,E63
Reynolds number,500000
Ncrit,5
Mach,0.0
Max Cl/Cd,161.7565
Max Cl/Cd alpha,1.1
Clmax,1.6531
Clmax alpha,10.5
Stall alpha,10.5


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-2.500,0.3941,0.01596,0.01176,-0.1704,0.9490,0.0065
-2.250,0.4424,0.01310,0.00834,-0.1749,0.9491,0.0061
-2.000,0.4816,0.01155,0.00640,-0.1772,0.9476,0.0059
-1.750,0.5136,0.01095,0.00567,-0.1781,0.9443,0.0078
-1.500,0.5505,0.01011,0.00468,-0.1800,0.9426,0.0082
-1.250,0.5876,0.00943,0.00393,-0.1820,0.9408,0.0084
-1.000,0.6186,0.00899,0.00341,-0.1826,0.9356,0.0090
-0.750,0.6528,0.00856,0.00289,-0.1839,0.9322,0.0111
-0.500,0.6842,0.00822,0.00261,-0.1845,0.9255,0.0426
-0.250,0.7198,0.00773,0.00246,-0.1864,0.9198,0.1808
0.000,0.7601,0.00705,0.00246,-0.1897,0.9145,0.4688
0.100,0.7745,0.00688,0.00245,-0.1905,0.9117,0.5428
0.200,0.7904,0.00668,0.00240,-0.1916,0.9076,0.6129
0.300,0.8078,0.00643,0.00234,-0.1929,0.9038,0.6976
0.400,0.8230,0.00615,0.00230,-0.1938,0.8983,0.8041
0.500,0.8308,0.00579,0.00213,-0.1927,0.8927,0.9696
0.600,0.8494,0.00572,0.00202,-0.1943,0.8869,1.0000
0.700,0.8668,0.00568,0.00194,-0.1957,0.8791,1.0000
0.900,0.9018,0.00564,0.00178,-0.1984,0.8554,1.0000
1.000,0.9170,0.00568,0.00173,-0.1992,0.8402,1.0000
1.100,0.9301,0.00575,0.00172,-0.1996,0.8242,1.0000
1.200,0.9420,0.00584,0.00173,-0.1997,0.8075,1.0000
1.300,0.9528,0.00596,0.00175,-0.1995,0.7901,1.0000
1.400,0.9628,0.00610,0.00179,-0.1992,0.7698,1.0000
1.500,0.9722,0.00625,0.00183,-0.1988,0.7512,1.0000
1.600,0.9817,0.00638,0.00189,-0.1984,0.7350,1.0000
1.700,0.9901,0.00657,0.00195,-0.1977,0.7121,1.0000
1.800,0.9987,0.00674,0.00203,-0.1971,0.6920,1.0000
1.900,1.0075,0.00692,0.00210,-0.1966,0.6714,1.0000
2.000,1.0155,0.00713,0.00221,-0.1959,0.6478,1.0000
2.100,1.0239,0.00733,0.00230,-0.1953,0.6252,1.0000
2.200,1.0320,0.00755,0.00239,-0.1946,0.6010,1.0000
2.300,1.0391,0.00786,0.00252,-0.1937,0.5651,1.0000
2.400,1.0454,0.00826,0.00267,-0.1928,0.5195,1.0000
2.500,1.0528,0.00859,0.00281,-0.1920,0.4817,1.0000
2.600,1.0593,0.00903,0.00299,-0.1912,0.4315,1.0000
2.700,1.0660,0.00951,0.00318,-0.1904,0.3778,1.0000
2.800,1.0743,0.00982,0.00332,-0.1899,0.3450,1.0000
2.900,1.0831,0.01009,0.00348,-0.1895,0.3181,1.0000
3.000,1.0917,0.01039,0.00363,-0.1890,0.2880,1.0000
3.100,1.1000,0.01073,0.00379,-0.1886,0.2543,1.0000
3.200,1.1085,0.01105,0.00396,-0.1882,0.2232,1.0000
3.300,1.1172,0.01136,0.00412,-0.1877,0.1955,1.0000
3.400,1.1260,0.01165,0.00429,-0.1874,0.1706,1.0000
3.500,1.1344,0.01198,0.00447,-0.1869,0.1426,1.0000
3.600,1.1431,0.01231,0.00466,-0.1865,0.1165,1.0000
3.700,1.1523,0.01255,0.00482,-0.1862,0.1009,1.0000
3.800,1.1612,0.01279,0.00501,-0.1858,0.0851,1.0000
3.900,1.1698,0.01312,0.00522,-0.1854,0.0633,1.0000
4.000,1.1793,0.01332,0.00538,-0.1851,0.0541,1.0000
4.100,1.1881,0.01361,0.00559,-0.1846,0.0390,1.0000
4.200,1.1970,0.01389,0.00580,-0.1842,0.0271,1.0000
4.300,1.2059,0.01420,0.00604,-0.1838,0.0153,1.0000
4.400,1.2156,0.01437,0.00622,-0.1835,0.0138,1.0000
4.500,1.2252,0.01455,0.00640,-0.1832,0.0127,1.0000
4.600,1.2345,0.01474,0.00660,-0.1829,0.0117,1.0000
4.700,1.2441,0.01490,0.00679,-0.1825,0.0113,1.0000
4.800,1.2535,0.01510,0.00703,-0.1822,0.0105,1.0000
4.900,1.2628,0.01528,0.00724,-0.1818,0.0102,1.0000
5.000,1.2725,0.01549,0.00750,-0.1815,0.0098,1.0000
5.100,1.2818,0.01572,0.00777,-0.1811,0.0096,1.0000
5.200,1.2907,0.01593,0.00801,-0.1807,0.0093,1.0000
5.300,1.3005,0.01615,0.00827,-0.1804,0.0093,1.0000
5.400,1.3094,0.01639,0.00854,-0.1800,0.0093,1.0000
5.500,1.3185,0.01662,0.00882,-0.1796,0.0091,1.0000
5.600,1.3275,0.01686,0.00909,-0.1791,0.0090,1.0000
5.700,1.3363,0.01714,0.00942,-0.1786,0.0088,1.0000
5.800,1.3453,0.01741,0.00972,-0.1782,0.0088,1.0000
5.900,1.3535,0.01770,0.01005,-0.1776,0.0086,1.0000
6.000,1.3620,0.01800,0.01040,-0.1771,0.0086,1.0000
6.100,1.3703,0.01831,0.01075,-0.1765,0.0085,1.0000
6.200,1.3787,0.01870,0.01119,-0.1760,0.0083,1.0000
6.300,1.3862,0.01906,0.01160,-0.1752,0.0082,1.0000
6.400,1.3947,0.01943,0.01201,-0.1748,0.0082,1.0000
6.500,1.4025,0.01979,0.01241,-0.1741,0.0079,1.0000
6.600,1.4096,0.02023,0.01295,-0.1733,0.0078,1.0000
6.700,1.4170,0.02069,0.01345,-0.1725,0.0078,1.0000
6.800,1.4251,0.02111,0.01393,-0.1720,0.0077,1.0000
6.900,1.4334,0.02131,0.01416,-0.1715,0.0072,1.0000
7.000,1.4403,0.02178,0.01468,-0.1706,0.0071,1.0000
7.100,1.4476,0.02236,0.01532,-0.1699,0.0070,1.0000
7.200,1.4549,0.02286,0.01587,-0.1691,0.0070,1.0000
7.300,1.4620,0.02332,0.01639,-0.1684,0.0069,1.0000
7.400,1.4691,0.02380,0.01692,-0.1677,0.0067,1.0000
7.500,1.4765,0.02426,0.01744,-0.1670,0.0067,1.0000
7.600,1.4827,0.02501,0.01825,-0.1660,0.0066,1.0000
7.700,1.4904,0.02531,0.01859,-0.1655,0.0063,1.0000
7.800,1.4975,0.02602,0.01938,-0.1647,0.0064,1.0000
7.900,1.5029,0.02661,0.02000,-0.1638,0.0059,1.0000
8.000,1.5088,0.02769,0.02118,-0.1628,0.0058,1.0000
8.100,1.5133,0.02896,0.02258,-0.1618,0.0053,1.0000
8.200,1.5187,0.03009,0.02383,-0.1607,0.0053,1.0000
8.300,1.5278,0.02964,0.02342,-0.1604,0.0050,1.0000
8.400,1.5348,0.03039,0.02428,-0.1596,0.0049,1.0000
8.500,1.5407,0.03126,0.02528,-0.1587,0.0049,1.0000
8.600,1.5485,0.03111,0.02517,-0.1581,0.0045,1.0000
8.700,1.5530,0.03213,0.02631,-0.1569,0.0045,1.0000
8.800,1.5635,0.03146,0.02563,-0.1570,0.0038,1.0000
8.900,1.5692,0.03205,0.02631,-0.1562,0.0037,1.0000
9.000,1.5739,0.03318,0.02758,-0.1550,0.0034,1.0000
9.100,1.5856,0.03165,0.02588,-0.1556,0.0031,1.0000
9.200,1.5855,0.03345,0.02790,-0.1534,0.0033,1.0000
9.300,1.5925,0.03346,0.02789,-0.1530,0.0030,1.0000
9.400,1.5991,0.03319,0.02759,-0.1526,0.0028,1.0000
9.500,1.5972,0.03552,0.03022,-0.1500,0.0031,1.0000
9.600,1.6072,0.03491,0.02953,-0.1503,0.0029,1.0000
9.700,1.6162,0.03482,0.02950,-0.1501,0.0026,1.0000
9.800,1.6037,0.03823,0.03324,-0.1458,0.0030,1.0000
9.900,1.6062,0.03859,0.03369,-0.1446,0.0026,1.0000
10.000,1.6073,0.03954,0.03476,-0.1429,0.0026,1.0000
10.100,1.6509,0.03366,0.02837,-0.1487,0.0012,1.0000
10.200,1.6047,0.04205,0.03766,-0.1387,0.0018,1.0000
10.300,1.6459,0.03632,0.03136,-0.1442,0.0014,1.0000
10.400,1.6335,0.03939,0.03477,-0.1405,0.0016,1.0000
10.500,1.6531,0.03738,0.03257,-0.1420,0.0011,1.0000
10.600,1.6053,0.04476,0.04070,-0.1325,0.0016,1.0000
10.700,1.6319,0.04199,0.03768,-0.1353,0.0015,1.0000
10.800,1.6490,0.04075,0.03632,-0.1364,0.0012,1.0000
10.900,1.6448,0.04191,0.03761,-0.1341,0.0012,1.0000
11.000,1.6171,0.04648,0.04260,-0.1288,0.0013,1.0000
11.100,1.5502,0.05623,0.05303,-0.1197,0.0023,1.0000
11.200,1.5765,0.05356,0.05026,-0.1213,0.0017,1.0000
11.300,1.6100,0.05019,0.04669,-0.1239,0.0009,1.0000
11.400,1.6099,0.05108,0.04765,-0.1229,0.0009,1.0000
11.500,1.6323,0.04867,0.04505,-0.1243,0.0008,1.0000
11.600,1.6239,0.05064,0.04717,-0.1223,0.0010,1.0000
11.700,1.6297,0.05135,0.04791,-0.1219,0.0003,1.0000
11.800,1.5823,0.05778,0.05481,-0.1166,0.0012,1.0000
11.900,1.5643,0.06045,0.05758,-0.1147,0.0013,1.0000
12.000,1.6028,0.05677,0.05376,-0.1163,0.0007,1.0000
12.100,1.4570,0.07899,0.07687,-0.1120,0.0020,1.0000
12.200,1.6194,0.05689,0.05385,-0.1164,0.0005,1.0000
12.300,1.5403,0.06839,0.06598,-0.1116,0.0011,1.0000
12.400,1.5573,0.06650,0.06396,-0.1121,0.0013,1.0000
12.500,1.5263,0.07214,0.06982,-0.1116,0.0014,1.0000
12.600,1.4866,0.08065,0.07865,-0.1129,0.0011,1.0000
12.700,1.5740,0.06717,0.06469,-0.1112,0.0005,1.0000
12.800,1.5585,0.07093,0.06863,-0.1111,0.0007,1.0000
12.900,1.5293,0.07637,0.07419,-0.1120,0.0013,1.0000
13.000,1.4694,0.08976,0.08803,-0.1162,0.0007,1.0000
13.100,1.3843,0.11236,0.11086,-0.1308,0.0025,1.0000
13.200,1.3693,0.11964,0.11826,-0.1356,0.0023,1.0000
13.300,1.4344,0.10220,0.10070,-0.1233,0.0011,1.0000
13.400,1.4711,0.09538,0.09369,-0.1200,0.0013,1.0000
13.600,1.4910,0.09539,0.09373,-0.1201,0.0005,1.0000
13.700,1.4355,0.11129,0.10989,-0.1294,0.0003,1.0000
13.800,1.3692,0.13548,0.13429,-0.1457,0.0015,1.0000
13.900,1.2714,0.17579,0.17446,-0.1663,0.0022,1.0000
