Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-NACA0018-100000-n5
Airfoil,NACA0018
Reynolds number,100000
Ncrit,5
Mach,0.0
Max Cl/Cd,38.0722
Max Cl/Cd alpha,7
Clmax,1.0630
Clmax alpha,14.9
Stall alpha,14.9


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.000,-1.0597,0.05978,0.05123,-0.0480,1.0000,0.0915
-14.750,-1.0580,0.05728,0.04868,-0.0482,1.0000,0.0935
-14.500,-1.0556,0.05492,0.04627,-0.0483,1.0000,0.0955
-14.250,-1.0554,0.05232,0.04352,-0.0484,1.0000,0.0980
-14.000,-1.0518,0.05018,0.04134,-0.0482,1.0000,0.1003
-13.750,-1.0481,0.04812,0.03924,-0.0479,1.0000,0.1028
-13.500,-1.0453,0.04597,0.03692,-0.0475,1.0000,0.1058
-13.250,-1.0398,0.04423,0.03521,-0.0469,1.0000,0.1083
-13.000,-1.0349,0.04244,0.03334,-0.0462,1.0000,0.1115
-12.750,-1.0292,0.04078,0.03161,-0.0453,1.0000,0.1147
-12.500,-1.0233,0.03924,0.03005,-0.0443,1.0000,0.1179
-12.250,-1.0167,0.03776,0.02847,-0.0432,1.0000,0.1218
-12.000,-1.0102,0.03641,0.02713,-0.0419,1.0000,0.1252
-11.500,-0.9959,0.03394,0.02459,-0.0388,1.0000,0.1334
-11.250,-0.9877,0.03284,0.02340,-0.0370,1.0000,0.1384
-11.000,-0.9811,0.03181,0.02241,-0.0350,1.0000,0.1426
-10.750,-0.9728,0.03088,0.02140,-0.0329,1.0000,0.1480
-10.500,-0.9670,0.03000,0.02056,-0.0303,1.0000,0.1526
-10.250,-0.9599,0.02922,0.01974,-0.0276,1.0000,0.1583
-10.000,-0.9559,0.02850,0.01906,-0.0243,1.0000,0.1634
-9.750,-0.9517,0.02788,0.01841,-0.0208,1.0000,0.1692
-9.500,-0.9492,0.02730,0.01785,-0.0169,1.0000,0.1747
-9.250,-0.9431,0.02672,0.01728,-0.0136,1.0000,0.1811
-9.000,-0.9366,0.02618,0.01674,-0.0103,1.0000,0.1880
-8.750,-0.9302,0.02565,0.01625,-0.0069,1.0000,0.1948
-8.500,-0.9222,0.02518,0.01575,-0.0037,1.0000,0.2027
-8.250,-0.9147,0.02470,0.01531,-0.0005,1.0000,0.2103
-8.000,-0.9062,0.02426,0.01489,0.0027,1.0000,0.2184
-7.750,-0.8965,0.02385,0.01448,0.0056,1.0000,0.2274
-7.500,-0.8868,0.02345,0.01410,0.0085,1.0000,0.2366
-7.250,-0.8765,0.02307,0.01376,0.0113,1.0000,0.2458
-7.000,-0.8651,0.02272,0.01344,0.0138,1.0000,0.2559
-6.750,-0.8319,0.02230,0.01304,0.0122,0.9947,0.2701
-6.500,-0.7969,0.02189,0.01267,0.0102,0.9887,0.2851
-6.250,-0.7620,0.02151,0.01232,0.0083,0.9824,0.3006
-6.000,-0.7273,0.02114,0.01199,0.0065,0.9757,0.3163
-5.750,-0.6929,0.02080,0.01167,0.0048,0.9686,0.3323
-5.500,-0.6589,0.02047,0.01137,0.0033,0.9612,0.3485
-5.250,-0.6239,0.02014,0.01109,0.0016,0.9541,0.3648
-5.000,-0.5902,0.01983,0.01083,0.0003,0.9461,0.3809
-4.750,-0.5548,0.01951,0.01058,-0.0013,0.9389,0.3974
-4.500,-0.5222,0.01922,0.01033,-0.0023,0.9303,0.4136
-4.250,-0.4907,0.01894,0.01010,-0.0030,0.9211,0.4298
