Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-NACA4412-40000-n5
Airfoil,NACA4412
Reynolds number,40000
Ncrit,5
Mach,0.0
Max Cl/Cd,27.0506
Max Cl/Cd alpha,8.8
Clmax,1.2214
Clmax alpha,11.2
Stall alpha,11.2


Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.000,-0.4188,0.18106,0.17199,-0.0199,1.0000,0.1067
-14.750,-0.4123,0.17831,0.16926,-0.0211,1.0000,0.1100
-14.500,-0.4106,0.17652,0.16751,-0.0231,1.0000,0.1123
-14.250,-0.4116,0.17513,0.16615,-0.0251,1.0000,0.1131
-14.000,-0.3953,0.16954,0.16057,-0.0250,1.0000,0.1152
-13.750,-0.3867,0.16621,0.15725,-0.0258,1.0000,0.1179
-13.500,-0.3826,0.16368,0.15474,-0.0270,1.0000,0.1213
-13.250,-0.3847,0.16210,0.15322,-0.0290,1.0000,0.1232
-13.000,-0.3761,0.15815,0.14930,-0.0296,1.0000,0.1248
-12.750,-0.3651,0.15435,0.14550,-0.0298,1.0000,0.1282
-12.500,-0.3611,0.15163,0.14281,-0.0308,1.0000,0.1315
-12.250,-0.3628,0.14958,0.14081,-0.0323,1.0000,0.1337
-12.000,-0.3655,0.14747,0.13876,-0.0340,1.0000,0.1344
-11.750,-0.3501,0.14264,0.13395,-0.0335,1.0000,0.1370
-11.500,-0.3433,0.13952,0.13085,-0.0338,1.0000,0.1408
-11.250,-0.3447,0.13723,0.12862,-0.0350,1.0000,0.1442
-11.000,-0.3493,0.13506,0.12651,-0.0364,1.0000,0.1453
-10.750,-0.3515,0.13242,0.12394,-0.0375,1.0000,0.1457
-10.500,-0.3436,0.12852,0.12009,-0.0375,1.0000,0.1464
-9.750,-0.3519,0.11391,0.10556,-0.0431,1.0000,0.0930
-9.500,-0.3479,0.11074,0.10244,-0.0426,1.0000,0.0918
-9.250,-0.3483,0.10762,0.09939,-0.0424,1.0000,0.0905
-9.000,-0.3521,0.10450,0.09636,-0.0424,1.0000,0.0892
-8.750,-0.3589,0.10144,0.09341,-0.0422,1.0000,0.0882
-8.500,-0.3688,0.09849,0.09057,-0.0418,1.0000,0.0874
-8.000,-0.4143,0.09150,0.08388,-0.0422,1.0000,0.0841
-7.750,-0.4245,0.08817,0.08064,-0.0423,1.0000,0.0840
-7.500,-0.4342,0.08463,0.07716,-0.0425,1.0000,0.0839
-7.250,-0.4431,0.08080,0.07337,-0.0431,1.0000,0.0837
-7.000,-0.4505,0.07666,0.06923,-0.0439,1.0000,0.0837
-6.750,-0.4561,0.07216,0.06466,-0.0451,1.0000,0.0837
-6.500,-0.4596,0.06710,0.05945,-0.0469,1.0000,0.0839
-6.250,-0.4558,0.06370,0.05597,-0.0471,1.0000,0.0851
-6.000,-0.4489,0.06080,0.05296,-0.0472,1.0000,0.0867
-5.750,-0.4401,0.05694,0.04886,-0.0483,1.0000,0.0882
-5.500,-0.4279,0.05267,0.04420,-0.0500,1.0000,0.0903
-5.250,-0.4048,0.04735,0.03812,-0.0539,0.9980,0.0935
-5.000,-0.3694,0.04527,0.03583,-0.0572,0.9913,0.0980
-4.750,-0.3314,0.04159,0.03140,-0.0615,0.9848,0.1038
-4.500,-0.2949,0.03980,0.02932,-0.0645,0.9775,0.1101
-4.250,-0.2572,0.03796,0.02712,-0.0674,0.9703,0.1175
-4.000,-0.2200,0.03634,0.02509,-0.0700,0.9624,0.1262
-3.750,-0.1822,0.03507,0.02352,-0.0725,0.9546,0.1365
-3.500,-0.1447,0.03407,0.02230,-0.0748,0.9466,0.1483
-3.250,-0.1083,0.03323,0.02131,-0.0768,0.9381,0.1621
-3.000,-0.0722,0.03250,0.02034,-0.0786,0.9292,0.1791
-2.750,-0.0370,0.03189,0.01969,-0.0802,0.9199,0.1980
-2.500,-0.0023,0.03134,0.01907,-0.0818,0.9105,0.2212
-2.250,0.0320,0.03084,0.01854,-0.0832,0.9009,0.2494
-2.000,0.0661,0.03034,0.01809,-0.0846,0.8915,0.2834
-1.750,0.1009,0.02980,0.01766,-0.0861,0.8825,0.3271
-1.500,0.1373,0.02913,0.01726,-0.0878,0.8745,0.3870
-1.000,0.1872,0.02752,0.01710,-0.0857,0.8547,0.6582
-0.750,0.2276,0.02696,0.01678,-0.0868,0.8445,1.0000
-0.500,0.2606,0.02715,0.01658,-0.0879,0.8343,1.0000
-0.250,0.2932,0.02733,0.01645,-0.0889,0.8244,1.0000
0.000,0.3267,0.02746,0.01631,-0.0899,0.8152,1.0000
0.100,0.3352,0.02762,0.01639,-0.0895,0.8097,1.0000
0.200,0.3499,0.02764,0.01632,-0.0901,0.8066,1.0000
0.300,0.3609,0.02775,0.01634,-0.0901,0.8022,1.0000
0.400,0.3713,0.02787,0.01639,-0.0901,0.7974,1.0000
0.500,0.3862,0.02788,0.01631,-0.0906,0.7945,1.0000
0.600,0.3954,0.02804,0.01641,-0.0904,0.7896,1.0000
0.700,0.4067,0.02814,0.01645,-0.0904,0.7854,1.0000
0.800,0.4217,0.02814,0.01637,-0.0909,0.7826,1.0000
0.900,0.4298,0.02834,0.01652,-0.0905,0.7773,1.0000
1.000,0.4416,0.02843,0.01655,-0.0906,0.7734,1.0000
1.100,0.4566,0.02842,0.01647,-0.0912,0.7707,1.0000
1.200,0.4637,0.02866,0.01668,-0.0906,0.7652,1.0000
1.300,0.4758,0.02874,0.01670,-0.0908,0.7615,1.0000
1.400,0.4909,0.02872,0.01663,-0.0912,0.7589,1.0000
1.500,0.4973,0.02900,0.01687,-0.0907,0.7532,1.0000
1.600,0.5095,0.02907,0.01691,-0.0908,0.7497,1.0000
1.700,0.5244,0.02905,0.01684,-0.0912,0.7472,1.0000
1.800,0.5304,0.02936,0.01712,-0.0906,0.7414,1.0000
1.900,0.5426,0.02943,0.01716,-0.0907,0.7379,1.0000
2.000,0.5574,0.02941,0.01709,-0.0911,0.7355,1.0000
2.100,0.5631,0.02975,0.01742,-0.0904,0.7298,1.0000
2.200,0.5751,0.02983,0.01747,-0.0905,0.7263,1.0000
2.300,0.5898,0.02980,0.01741,-0.0909,0.7238,1.0000
2.400,0.5953,0.03016,0.01776,-0.0902,0.7182,1.0000
2.500,0.6070,0.03026,0.01783,-0.0902,0.7147,1.0000
2.600,0.6215,0.03024,0.01778,-0.0906,0.7123,1.0000
2.700,0.6271,0.03061,0.01814,-0.0899,0.7069,1.0000
2.800,0.6383,0.03073,0.01825,-0.0899,0.7032,1.0000
2.900,0.6526,0.03071,0.01821,-0.0902,0.7007,1.0000
3.000,0.6586,0.03108,0.01858,-0.0896,0.6956,1.0000
3.100,0.6691,0.03123,0.01873,-0.0895,0.6918,1.0000
3.200,0.6831,0.03123,0.01871,-0.0897,0.6893,1.0000
3.300,0.6899,0.03157,0.01905,-0.0892,0.6845,1.0000
3.400,0.6994,0.03178,0.01926,-0.0890,0.6805,1.0000
3.500,0.7130,0.03178,0.01926,-0.0892,0.6779,1.0000
3.600,0.7212,0.03206,0.01954,-0.0888,0.6737,1.0000
3.700,0.7292,0.03235,0.01984,-0.0884,0.6693,1.0000
3.800,0.7425,0.03237,0.01986,-0.0886,0.6665,1.0000
3.900,0.7531,0.03254,0.02002,-0.0884,0.6631,1.0000
4.000,0.7586,0.03296,0.02047,-0.0878,0.6581,1.0000
4.100,0.7713,0.03301,0.02052,-0.0879,0.6552,1.0000
4.200,0.7864,0.03293,0.02045,-0.0882,0.6530,1.0000
4.300,0.7875,0.03360,0.02114,-0.0872,0.6470,1.0000
4.400,0.7997,0.03368,0.02123,-0.0872,0.6439,1.0000
4.500,0.8146,0.03361,0.02118,-0.0874,0.6416,1.0000
4.600,0.8162,0.03426,0.02187,-0.0864,0.6358,1.0000
4.700,0.8276,0.03438,0.02200,-0.0864,0.6326,1.0000
4.800,0.8422,0.03432,0.02195,-0.0866,0.6302,1.0000
4.900,0.8445,0.03495,0.02261,-0.0857,0.6247,1.0000
5.000,0.8550,0.03511,0.02280,-0.0855,0.6212,1.0000
5.100,0.8695,0.03505,0.02276,-0.0857,0.6188,1.0000
5.200,0.8726,0.03565,0.02340,-0.0849,0.6136,1.0000
5.300,0.8821,0.03587,0.02365,-0.0846,0.6098,1.0000
5.400,0.8965,0.03581,0.02361,-0.0848,0.6073,1.0000
5.500,0.9002,0.03638,0.02422,-0.0840,0.6024,1.0000
5.600,0.9087,0.03665,0.02453,-0.0836,0.5984,1.0000
5.700,0.9230,0.03659,0.02449,-0.0838,0.5957,1.0000
5.800,0.9272,0.03713,0.02509,-0.0830,0.5909,1.0000
5.900,0.9350,0.03745,0.02545,-0.0826,0.5868,1.0000
6.000,0.9494,0.03737,0.02540,-0.0827,0.5841,1.0000
6.100,0.9534,0.03793,0.02600,-0.0819,0.5793,1.0000
6.200,0.9609,0.03826,0.02638,-0.0815,0.5750,1.0000
6.300,0.9757,0.03815,0.02630,-0.0816,0.5723,1.0000
6.400,0.9784,0.03878,0.02699,-0.0807,0.5672,1.0000
6.500,0.9866,0.03906,0.02732,-0.0803,0.5631,1.0000
6.600,1.0022,0.03889,0.02719,-0.0805,0.5603,1.0000
6.700,1.0025,0.03966,0.02802,-0.0794,0.5548,1.0000
6.800,1.0123,0.03984,0.02824,-0.0791,0.5509,1.0000
6.900,1.0292,0.03957,0.02802,-0.0793,0.5482,1.0000
7.000,1.0263,0.04054,0.02905,-0.0780,0.5422,1.0000
7.100,1.0384,0.04055,0.02912,-0.0778,0.5385,1.0000
7.200,1.0551,0.04027,0.02889,-0.0780,0.5356,1.0000
7.300,1.0504,0.04135,0.03003,-0.0765,0.5292,1.0000
7.400,1.0657,0.04113,0.02987,-0.0766,0.5258,1.0000
7.500,1.0683,0.04174,0.03053,-0.0757,0.5207,1.0000
7.600,1.0760,0.04200,0.03085,-0.0751,0.5160,1.0000
7.700,1.0952,0.04150,0.03041,-0.0754,0.5129,1.0000
7.800,1.0890,0.04266,0.03163,-0.0738,0.5064,1.0000
7.900,1.1047,0.04236,0.03139,-0.0738,0.5025,1.0000
8.000,1.1064,0.04298,0.03208,-0.0728,0.4971,1.0000
8.100,1.1155,0.04309,0.03224,-0.0722,0.4922,1.0000
8.200,1.1286,0.04291,0.03212,-0.0720,0.4877,1.0000
8.300,1.1277,0.04367,0.03296,-0.0707,0.4817,1.0000
8.400,1.1501,0.04282,0.03215,-0.0711,0.4776,1.0000
8.500,1.1411,0.04411,0.03352,-0.0693,0.4709,1.0000
8.600,1.1627,0.04325,0.03271,-0.0695,0.4662,1.0000
8.700,1.1544,0.04445,0.03398,-0.0677,0.4597,1.0000
8.800,1.1767,0.04350,0.03306,-0.0679,0.4544,1.0000
8.900,1.1667,0.04476,0.03440,-0.0659,0.4479,1.0000
9.000,1.1863,0.04395,0.03363,-0.0659,0.4420,1.0000
9.100,1.1783,0.04504,0.03480,-0.0640,0.4356,1.0000
9.200,1.1905,0.04466,0.03446,-0.0635,0.4293,1.0000
9.300,1.1903,0.04520,0.03506,-0.0621,0.4226,1.0000
9.400,1.1939,0.04545,0.03535,-0.0611,0.4160,1.0000
9.500,1.2039,0.04515,0.03509,-0.0603,0.4090,1.0000
9.600,1.1982,0.04616,0.03616,-0.0588,0.4023,1.0000
9.700,1.2074,0.04588,0.03592,-0.0579,0.3951,1.0000
9.800,1.2059,0.04653,0.03663,-0.0566,0.3880,1.0000
9.900,1.2060,0.04707,0.03722,-0.0555,0.3809,1.0000
10.000,1.2141,0.04681,0.03698,-0.0546,0.3732,1.0000
10.100,1.2108,0.04769,0.03793,-0.0534,0.3659,1.0000
10.200,1.2110,0.04823,0.03851,-0.0523,0.3583,1.0000
10.300,1.2164,0.04824,0.03854,-0.0513,0.3503,1.0000
10.400,1.2165,0.04881,0.03915,-0.0503,0.3424,1.0000
10.500,1.2148,0.04962,0.04001,-0.0493,0.3345,1.0000
10.600,1.2167,0.05002,0.04043,-0.0484,0.3262,1.0000
10.700,1.2203,0.05025,0.04065,-0.0475,0.3175,1.0000
10.800,1.2197,0.05097,0.04141,-0.0466,0.3090,1.0000
10.900,1.2184,0.05183,0.04230,-0.0458,0.3005,1.0000
11.000,1.2189,0.05249,0.04296,-0.0450,0.2917,1.0000
11.100,1.2200,0.05307,0.04353,-0.0442,0.2827,1.0000
11.200,1.2214,0.05363,0.04404,-0.0434,0.2737,1.0000
11.300,1.2209,0.05447,0.04489,-0.0427,0.2648,1.0000
11.400,1.2194,0.05549,0.04591,-0.0420,0.2561,1.0000
11.500,1.2185,0.05642,0.04683,-0.0414,0.2474,1.0000
11.600,1.2182,0.05730,0.04766,-0.0408,0.2389,1.0000
11.700,1.2183,0.05813,0.04841,-0.0401,0.2307,1.0000
11.800,1.2163,0.05930,0.04958,-0.0396,0.2227,1.0000
11.900,1.2146,0.06048,0.05075,-0.0392,0.2149,1.0000
12.000,1.2138,0.06151,0.05173,-0.0386,0.2077,1.0000
12.100,1.2126,0.06262,0.05280,-0.0382,0.2007,1.0000
12.200,1.2105,0.06394,0.05411,-0.0378,0.1939,1.0000
12.300,1.2097,0.06502,0.05511,-0.0374,0.1877,1.0000
12.400,1.2079,0.06636,0.05646,-0.0371,0.1815,1.0000
12.500,1.2067,0.06757,0.05763,-0.0368,0.1759,1.0000
12.600,1.2054,0.06883,0.05887,-0.0365,0.1704,1.0000
12.700,1.2043,0.07011,0.06013,-0.0362,0.1653,1.0000
12.800,1.2031,0.07138,0.06139,-0.0360,0.1603,1.0000
12.900,1.2026,0.07261,0.06259,-0.0357,0.1559,1.0000
13.000,1.2014,0.07398,0.06398,-0.0355,0.1514,1.0000
13.100,1.2018,0.07501,0.06493,-0.0352,0.1474,1.0000
13.200,1.1999,0.07659,0.06659,-0.0352,0.1433,1.0000
13.300,1.2002,0.07771,0.06770,-0.0349,0.1396,1.0000
13.400,1.1999,0.07899,0.06897,-0.0348,0.1361,1.0000
13.500,1.1988,0.08047,0.07051,-0.0347,0.1327,1.0000
13.600,1.1996,0.08152,0.07153,-0.0345,0.1295,1.0000
13.700,1.1995,0.08285,0.07287,-0.0344,0.1265,1.0000
13.800,1.1983,0.08441,0.07452,-0.0345,0.1235,1.0000
13.900,1.1990,0.08558,0.07568,-0.0343,0.1207,1.0000
14.000,1.2013,0.08647,0.07650,-0.0340,0.1181,1.0000
14.100,1.1986,0.08835,0.07852,-0.0343,0.1157,1.0000
14.200,1.1978,0.08987,0.08012,-0.0344,0.1133,1.0000
14.300,1.1994,0.09094,0.08119,-0.0342,0.1111,1.0000
14.400,1.2024,0.09176,0.08193,-0.0339,0.1088,1.0000
14.500,1.1988,0.09387,0.08421,-0.0344,0.1070,1.0000
14.600,1.1963,0.09576,0.08621,-0.0347,0.1052,1.0000
14.700,1.1959,0.09727,0.08778,-0.0349,0.1033,1.0000
14.800,1.1986,0.09815,0.08863,-0.0347,0.1013,1.0000
14.900,1.2011,0.09915,0.08961,-0.0345,0.0996,1.0000
15.000,1.1960,0.10159,0.09222,-0.0353,0.0984,1.0000
15.100,1.1909,0.10404,0.09480,-0.0361,0.0972,1.0000
15.200,1.1868,0.10632,0.09719,-0.0368,0.0960,1.0000
15.300,1.1841,0.10834,0.09928,-0.0374,0.0947,1.0000
15.400,1.1845,0.10972,0.10068,-0.0376,0.0932,1.0000
15.500,1.1948,0.10922,0.10005,-0.0366,0.0912,1.0000
15.600,1.1862,0.11242,0.10341,-0.0380,0.0906,1.0000
15.700,1.1776,0.11570,0.10683,-0.0395,0.0900,1.0000
15.800,1.1681,0.11925,0.11052,-0.0412,0.0895,1.0000
15.900,1.1576,0.12311,0.11450,-0.0432,0.0891,1.0000
16.000,1.1458,0.12736,0.11888,-0.0456,0.0888,1.0000
16.100,1.1325,0.13216,0.12378,-0.0483,0.0887,1.0000
16.200,1.1162,0.13789,0.12960,-0.0517,0.0886,1.0000
16.300,1.0980,0.14449,0.13626,-0.0557,0.0887,1.0000
16.400,1.0792,0.15171,0.14351,-0.0601,0.0886,1.0000
16.500,1.0635,0.15851,0.15030,-0.0642,0.0883,1.0000
16.600,1.0523,0.16429,0.15607,-0.0677,0.0878,1.0000
16.700,1.0450,0.16895,0.16070,-0.0703,0.0870,1.0000
16.800,1.0414,0.17237,0.16411,-0.0723,0.0862,1.0000
16.900,1.0407,0.17481,0.16655,-0.0735,0.0852,1.0000
17.000,1.0437,0.17589,0.16765,-0.0739,0.0841,1.0000
17.100,1.0561,0.17347,0.16526,-0.0719,0.0827,1.0000
17.200,1.0467,0.17920,0.17096,-0.0754,0.0823,1.0000
17.300,1.0405,0.18377,0.17550,-0.0782,0.0819,1.0000
17.400,1.0364,0.18761,0.17932,-0.0805,0.0814,1.0000
17.500,1.0337,0.19095,0.18265,-0.0825,0.0808,1.0000
17.600,1.0317,0.19402,0.18570,-0.0844,0.0802,1.0000
17.700,1.0308,0.19677,0.18843,-0.0860,0.0796,1.0000
17.800,1.0305,0.19925,0.19091,-0.0875,0.0790,1.0000
17.900,1.0309,0.20151,0.19318,-0.0888,0.0783,1.0000
18.000,1.0320,0.20354,0.19521,-0.0899,0.0776,1.0000
18.100,1.0338,0.20534,0.19702,-0.0909,0.0769,1.0000
18.200,1.0359,0.20701,0.19870,-0.0917,0.0763,1.0000
18.300,1.0394,0.20822,0.19993,-0.0922,0.0756,1.0000
18.400,1.0450,0.20864,0.20035,-0.0920,0.0747,1.0000
18.500,1.0440,0.21148,0.20319,-0.0938,0.0744,1.0000
18.600,1.0433,0.21425,0.20594,-0.0956,0.0740,1.0000
18.700,1.0434,0.21673,0.20842,-0.0972,0.0738,1.0000
18.800,1.0437,0.21911,0.21080,-0.0988,0.0734,1.0000
18.900,1.0444,0.22138,0.21307,-0.1002,0.0731,1.0000
19.000,1.0453,0.22356,0.21524,-0.1016,0.0728,1.0000
19.100,1.0465,0.22565,0.21734,-0.1029,0.0726,1.0000
19.200,1.0477,0.22770,0.21938,-0.1042,0.0723,1.0000
19.300,1.0492,0.22967,0.22136,-0.1055,0.0721,1.0000
19.400,1.0507,0.23160,0.22329,-0.1067,0.0717,1.0000
19.500,1.0524,0.23347,0.22516,-0.1080,0.0714,1.0000
19.600,1.0542,0.23531,0.22701,-0.1091,0.0712,1.0000
19.700,1.0560,0.23712,0.22882,-0.1103,0.0710,1.0000
19.800,1.0579,0.23891,0.23061,-0.1115,0.0709,1.0000
19.900,1.0598,0.24070,0.23241,-0.1127,0.0708,1.0000
20.000,1.0618,0.24247,0.23418,-0.1138,0.0708,1.0000
20.100,1.0638,0.24420,0.23591,-0.1150,0.0707,1.0000
20.200,1.0659,0.24591,0.23764,-0.1161,0.0707,1.0000
20.300,1.0681,0.24762,0.23935,-0.1172,0.0706,1.0000
20.400,1.0703,0.24929,0.24102,-0.1183,0.0705,1.0000
20.500,1.0725,0.25099,0.24273,-0.1195,0.0706,1.0000
20.600,1.0748,0.25268,0.24443,-0.1206,0.0706,1.0000
20.700,1.0771,0.25437,0.24613,-0.1217,0.0708,1.0000
20.800,1.0794,0.25608,0.24784,-0.1229,0.0712,1.0000
20.900,1.0819,0.25777,0.24953,-0.1240,0.0716,1.0000
21.000,1.0844,0.25944,0.25121,-0.1250,0.0719,1.0000
21.100,1.0871,0.26108,0.25286,-0.1261,0.0722,1.0000
21.200,1.0898,0.26271,0.25450,-0.1271,0.0726,1.0000
21.300,1.0927,0.26432,0.25612,-0.1281,0.0729,1.0000
21.400,1.0959,0.26591,0.25772,-0.1289,0.0734,1.0000
21.500,1.0990,0.26753,0.25935,-0.1298,0.0737,1.0000
21.600,1.1037,0.26920,0.26104,-0.1302,0.0744,1.0000
21.800,0.7298,0.24119,0.23403,-0.0812,0.1249,1.0000
21.900,0.7304,0.24237,0.23522,-0.0816,0.1239,1.0000
22.000,0.7314,0.24358,0.23645,-0.0821,0.1229,1.0000
22.100,0.7327,0.24482,0.23770,-0.0825,0.1220,1.0000
22.200,0.7346,0.24611,0.23901,-0.0828,0.1207,1.0000
22.300,0.7376,0.24756,0.24049,-0.0830,0.1196,1.0000
22.400,0.7426,0.24958,0.24253,-0.0829,0.1186,1.0000
22.500,0.7425,0.25072,0.24367,-0.0835,0.1184,1.0000
22.600,0.7420,0.25180,0.24475,-0.0841,0.1182,1.0000
22.700,0.7412,0.25282,0.24579,-0.0848,0.1178,1.0000
22.800,0.7407,0.25389,0.24687,-0.0854,0.1172,1.0000
22.900,0.7405,0.25498,0.24797,-0.0861,0.1164,1.0000
23.000,0.7407,0.25613,0.24913,-0.0866,0.1153,1.0000
23.100,0.7414,0.25729,0.25031,-0.0871,0.1142,1.0000
23.200,0.7425,0.25850,0.25154,-0.0875,0.1130,1.0000
23.300,0.7441,0.25977,0.25283,-0.0879,0.1118,1.0000
23.400,0.7463,0.26111,0.25418,-0.0881,0.1107,1.0000
23.500,0.7504,0.26291,0.25600,-0.0881,0.1096,1.0000
23.600,0.7524,0.26451,0.25761,-0.0885,0.1091,1.0000
23.700,0.7516,0.26551,0.25862,-0.0892,0.1088,1.0000
23.800,0.7510,0.26654,0.25966,-0.0898,0.1084,1.0000
23.900,0.7505,0.26757,0.26070,-0.0905,0.1078,1.0000
24.000,0.7504,0.26868,0.26183,-0.0911,0.1068,1.0000
24.100,0.7508,0.26983,0.26298,-0.0917,0.1057,1.0000
24.200,0.7516,0.27103,0.26420,-0.0921,0.1046,1.0000
24.300,0.7528,0.27227,0.26546,-0.0926,0.1035,1.0000
24.400,0.7544,0.27356,0.26677,-0.0929,0.1024,1.0000
24.500,0.7566,0.27498,0.26821,-0.0932,0.1013,1.0000
24.600,0.7600,0.27674,0.26999,-0.0932,0.1004,1.0000
24.700,0.7619,0.27836,0.27161,-0.0936,0.0999,1.0000
24.800,0.7610,0.27931,0.27258,-0.0943,0.0996,1.0000
24.900,0.7604,0.28032,0.27360,-0.0950,0.0992,1.0000
25.000,0.7601,0.28141,0.27470,-0.0956,0.0985,1.0000
25.100,0.7601,0.28253,0.27582,-0.0962,0.0974,1.0000
25.200,0.7607,0.28372,0.27703,-0.0968,0.0964,1.0000
25.300,0.7615,0.28494,0.27827,-0.0972,0.0953,1.0000
25.400,0.7627,0.28620,0.27955,-0.0976,0.0943,1.0000
25.500,0.7641,0.28750,0.28086,-0.0980,0.0935,1.0000
25.600,0.7660,0.28890,0.28229,-0.0983,0.0925,1.0000
25.700,0.7687,0.29057,0.28398,-0.0985,0.0917,1.0000
25.800,0.7713,0.29240,0.28581,-0.0987,0.0912,1.0000
25.900,0.7707,0.29339,0.28680,-0.0994,0.0909,1.0000
26.000,0.7702,0.29442,0.28784,-0.1000,0.0906,1.0000
26.100,0.7698,0.29548,0.28892,-0.1007,0.0900,1.0000
26.200,0.7698,0.29663,0.29008,-0.1014,0.0891,1.0000
26.300,0.7702,0.29783,0.29129,-0.1019,0.0881,1.0000
26.400,0.7709,0.29906,0.29254,-0.1024,0.0869,1.0000
26.500,0.7719,0.30029,0.29379,-0.1028,0.0860,1.0000
26.600,0.7732,0.30160,0.29512,-0.1032,0.0851,1.0000
26.700,0.7747,0.30295,0.29650,-0.1035,0.0842,1.0000
26.800,0.7768,0.30450,0.29806,-0.1038,0.0835,1.0000
26.900,0.7795,0.30631,0.29990,-0.1039,0.0829,1.0000
27.000,0.7799,0.30765,0.30123,-0.1045,0.0826,1.0000
27.100,0.7795,0.30870,0.30229,-0.1051,0.0824,1.0000
27.200,0.7792,0.30981,0.30341,-0.1058,0.0820,1.0000
27.300,0.7792,0.31093,0.30455,-0.1064,0.0814,1.0000
27.400,0.7793,0.31212,0.30575,-0.1070,0.0806,1.0000
27.500,0.7797,0.31334,0.30699,-0.1076,0.0797,1.0000
27.600,0.7804,0.31459,0.30825,-0.1081,0.0788,1.0000
27.700,0.7814,0.31588,0.30957,-0.1085,0.0777,1.0000
27.800,0.7825,0.31719,0.31089,-0.1089,0.0768,1.0000
27.900,0.7839,0.31854,0.31227,-0.1092,0.0760,1.0000
28.000,0.7857,0.32006,0.31380,-0.1095,0.0753,1.0000
28.100,0.7881,0.32186,0.31562,-0.1097,0.0748,1.0000
28.200,0.7885,0.32318,0.31694,-0.1102,0.0746,1.0000
28.300,0.7883,0.32430,0.31807,-0.1108,0.0744,1.0000
28.400,0.7881,0.32543,0.31921,-0.1115,0.0741,1.0000
28.500,0.7880,0.32661,0.32041,-0.1121,0.0737,1.0000
28.600,0.7881,0.32784,0.32166,-0.1127,0.0730,1.0000
28.700,0.7885,0.32907,0.32290,-0.1133,0.0723,1.0000
28.800,0.7891,0.33036,0.32420,-0.1138,0.0715,1.0000
28.900,0.7897,0.33163,0.32549,-0.1142,0.0706,1.0000
29.000,0.7906,0.33293,0.32680,-0.1147,0.0697,1.0000
29.100,0.7915,0.33421,0.32811,-0.1151,0.0691,1.0000
29.200,0.7928,0.33558,0.32951,-0.1154,0.0682,1.0000
29.300,0.7945,0.33712,0.33106,-0.1157,0.0676,1.0000
29.400,0.7966,0.33897,0.33291,-0.1159,0.0671,1.0000
29.500,0.7963,0.34008,0.33403,-0.1165,0.0670,1.0000
29.600,0.7961,0.34122,0.33519,-0.1172,0.0667,1.0000
29.700,0.7961,0.34242,0.33640,-0.1178,0.0665,1.0000
29.800,0.7962,0.34365,0.33764,-0.1184,0.0661,1.0000
29.900,0.7964,0.34491,0.33892,-0.1189,0.0655,1.0000
30.000,0.7968,0.34617,0.34020,-0.1195,0.0650,1.0000
