angle_deg,cp_min,abs_cp_min,n_points
-15.0,-1.18999,1.18999,200
-14.75,-1.17944,1.17944,200
-14.5,-1.1786,1.1786,200
-14.0,-1.15926,1.15926,200
-13.75,-1.16664,1.16664,200
-13.5,-1.17597,1.17597,200
-13.25,-1.12437,1.12437,200
-13.0,-1.13964,1.13964,200
-12.75,-1.13548,1.13548,200
-12.5,-1.11412,1.11412,200
-12.25,-1.11409,1.11409,200
-12.0,-1.08703,1.08703,200
-11.75,-1.08164,1.08164,200
-11.5,-1.04531,1.04531,200
-11.25,-1.06476,1.06476,200
-11.0,-0.91916,0.91916,200
-10.75,-0.92243,0.92243,200
-10.5,-0.92499,0.92499,200
-10.25,-0.9301,0.9301,200
-10.0,-0.94231,0.94231,200
-9.75,-0.94771,0.94771,200
-9.5,-0.9472,0.9472,200
-9.25,-0.94291,0.94291,200
-9.0,-0.97089,0.97089,200
-8.75,-0.97183,0.97183,200
-8.5,-0.96045,0.96045,200
-8.25,-0.9957,0.9957,200
-8.0,-1.03209,1.03209,200
-7.75,-1.05287,1.05287,200
-7.5,-1.07081,1.07081,200
-7.25,-1.11607,1.11607,200
-7.0,-1.15947,1.15947,200
-6.75,-1.21835,1.21835,200
-6.5,-1.24769,1.24769,200
-6.25,-1.32043,1.32043,200
-6.0,-1.3523,1.3523,200
-5.75,-1.41097,1.41097,200
-5.5,-1.44537,1.44537,200
-5.25,-1.45065,1.45065,200
-5.0,-1.48587,1.48587,200
-4.75,-1.49349,1.49349,200
-4.5,-1.55899,1.55899,200
-4.25,-1.55724,1.55724,200
-4.0,-1.57133,1.57133,200
-3.75,-1.57803,1.57803,200
-3.5,-1.60321,1.60321,200
-3.25,-1.56232,1.56232,200
-3.0,-1.59402,1.59402,200
-2.75,-1.53235,1.53235,200
-2.5,-1.56392,1.56392,200
-2.25,-1.51562,1.51562,200
-2.0,-1.52447,1.52447,200
-1.75,-1.52856,1.52856,200
-1.5,-1.51978,1.51978,200
-1.25,-1.52138,1.52138,200
-1.0,-1.50315,1.50315,200
-0.75,-1.50239,1.50239,200
-0.5,-1.4934,1.4934,200
-0.25,-1.50572,1.50572,200
0.0,-1.56508,1.56508,200
0.25,-1.44001,1.44001,200
0.5,-1.26368,1.26368,200
0.75,-1.0886,1.0886,200
1.0,-0.89097,0.89097,200
1.25,-0.71232,0.71232,200
1.5,-0.54927,0.54927,200
1.75,-0.52644,0.52644,200
2.0,-0.55019,0.55019,200
2.25,-0.57516,0.57516,200
2.5,-0.60114,0.60114,200
2.75,-0.62816,0.62816,200
3.0,-0.65772,0.65772,200
3.25,-0.68959,0.68959,200
3.5,-0.72205,0.72205,200
3.75,-0.75791,0.75791,200
4.0,-0.79512,0.79512,200
4.25,-0.83431,0.83431,200
4.5,-0.87756,0.87756,200
4.75,-0.92559,0.92559,200
5.0,-0.97676,0.97676,200
5.25,-1.02686,1.02686,200
5.5,-1.07583,1.07583,200
5.75,-1.16198,1.16198,200
6.0,-1.25632,1.25632,200
6.25,-1.35608,1.35608,200
6.5,-1.49533,1.49533,200
6.75,-1.73438,1.73438,200
7.0,-1.98389,1.98389,200
7.25,-2.22099,2.22099,200
7.5,-2.42766,2.42766,200
7.75,-2.6419,2.6419,200
8.0,-2.90062,2.90062,200
8.25,-3.21668,3.21668,200
8.5,-3.43703,3.43703,200
8.75,-3.52557,3.52557,200
9.0,-3.40969,3.40969,200
9.25,-3.38338,3.38338,200
9.5,-3.34802,3.34802,200
9.75,-3.29996,3.29996,200
10.0,-3.29158,3.29158,200
10.25,-3.22026,3.22026,200
10.5,-3.13056,3.13056,200
10.75,-3.05184,3.05184,200
11.0,-3.03409,3.03409,200
11.25,-3.01248,3.01248,200
11.5,-2.93482,2.93482,200
11.75,-2.86698,2.86698,200
12.0,-2.84877,2.84877,200
12.25,-2.80729,2.80729,200
12.5,-2.82114,2.82114,200
12.75,-2.77214,2.77214,200
13.0,-2.7864,2.7864,200
13.25,-2.72746,2.72746,200
13.5,-2.7311,2.7311,200
13.75,-2.69478,2.69478,200
14.0,-2.7592,2.7592,200
14.25,-2.721,2.721,200
14.5,-2.7287,2.7287,200
14.75,-2.70966,2.70966,200
15.0,-2.6506,2.6506,200
15.25,-2.65281,2.65281,200
15.5,-2.6294,2.6294,200
15.75,-2.59797,2.59797,200
16.0,-2.57065,2.57065,200
16.25,-2.52817,2.52817,200
16.5,-1.51659,1.51659,200
16.75,-1.45922,1.45922,200
17.0,-1.52999,1.52999,200
17.25,-1.49464,1.49464,200
17.5,-1.44768,1.44768,200
17.75,-1.49405,1.49405,200
18.0,-1.35716,1.35716,200
18.25,-1.36705,1.36705,200
18.5,-1.46248,1.46248,200
18.75,-1.50595,1.50595,200
19.0,-1.37669,1.37669,200
19.25,-1.51438,1.51438,200
19.5,-1.47028,1.47028,200
19.75,-1.44113,1.44113,200
20.0,-1.40376,1.40376,200
20.25,-1.41567,1.41567,200
20.5,-1.37625,1.37625,200
20.75,-1.45592,1.45592,200
21.0,-1.36039,1.36039,200
21.25,-1.3749,1.3749,200
21.5,-1.41702,1.41702,200
21.75,-1.3167,1.3167,200
22.0,-1.41143,1.41143,200
22.25,-1.3424,1.3424,200
22.5,-1.37745,1.37745,200
22.75,-1.55437,1.55437,200
23.0,-1.32701,1.32701,200
23.25,-1.40036,1.40036,200
23.5,-1.35455,1.35455,200
23.75,-1.33338,1.33338,200
24.0,-1.38514,1.38514,200
24.25,-1.4363,1.4363,200
24.5,-1.383,1.383,200
24.75,-1.42012,1.42012,200
25.0,-1.28693,1.28693,200
25.25,-1.37719,1.37719,200
25.5,-1.31675,1.31675,200
25.75,-1.31378,1.31378,200
26.0,-1.38184,1.38184,200
26.25,-1.25415,1.25415,200
26.5,-1.30864,1.30864,200
26.75,-1.32839,1.32839,200
27.0,-1.30486,1.30486,200
27.25,-1.33262,1.33262,200
27.5,-1.36358,1.36358,200
27.75,-1.30309,1.30309,200
28.0,-1.26341,1.26341,200
28.25,-1.28812,1.28812,200
28.5,-1.28096,1.28096,200
28.75,-1.25618,1.25618,200
29.0,-1.30414,1.30414,200
29.25,-1.31524,1.31524,200
29.5,-1.22627,1.22627,200
29.75,-1.25913,1.25913,200
30.0,-1.35107,1.35107,200
