angle_deg,cp_min,abs_cp_min,n_points
-15.0,-1.00804,1.00804,200
-14.75,-1.01318,1.01318,200
-14.5,-0.98377,0.98377,200
-14.25,-0.98613,0.98613,200
-14.0,-1.0082,1.0082,200
-13.75,-1.0424,1.0424,200
-13.5,-1.01209,1.01209,200
-13.25,-1.0,1.0,200
-13.0,-1.02562,1.02562,200
-12.75,-1.06971,1.06971,200
-12.5,-1.04424,1.04424,200
-12.25,-1.03859,1.03859,200
-12.0,-1.05437,1.05437,200
-11.75,-1.08879,1.08879,200
-11.5,-1.10653,1.10653,200
-11.25,-1.06743,1.06743,200
-11.0,-1.07753,1.07753,200
-10.75,-1.11068,1.11068,200
-10.5,-1.13664,1.13664,200
-10.25,-1.12605,1.12605,200
-9.75,-1.69857,1.69857,200
-9.5,-1.68829,1.68829,200
-9.25,-1.73032,1.73032,200
-9.0,-1.84975,1.84975,200
-8.75,-1.8646,1.8646,200
-8.5,-1.89297,1.89297,200
-8.25,-1.92619,1.92619,200
-8.0,-1.96461,1.96461,200
-7.75,-2.0055,2.0055,200
-7.5,-2.04921,2.04921,200
-7.25,-2.09652,2.09652,200
-7.0,-2.1462,2.1462,200
-6.75,-2.19574,2.19574,200
-6.5,-2.24293,2.24293,200
-6.25,-2.28863,2.28863,200
-6.0,-2.33091,2.33091,200
-5.75,-2.37758,2.37758,200
-5.5,-2.42837,2.42837,200
-5.25,-2.39846,2.39846,200
-5.0,-2.35092,2.35092,200
-4.75,-2.33763,2.33763,200
-4.5,-2.3177,2.3177,200
-4.25,-2.23801,2.23801,200
-4.0,-2.2044,2.2044,200
-3.75,-2.10625,2.10625,200
-3.5,-2.00227,2.00227,200
-3.25,-1.88755,1.88755,200
-3.0,-1.77367,1.77367,200
-2.75,-1.66233,1.66233,200
-2.5,-1.54505,1.54505,200
-2.25,-1.43659,1.43659,200
-2.0,-1.32814,1.32814,200
-1.75,-1.22481,1.22481,200
-1.5,-1.12556,1.12556,200
-1.25,-1.0282,1.0282,200
-1.0,-0.95105,0.95105,200
-0.75,-0.86103,0.86103,200
-0.5,-0.77764,0.77764,200
-0.25,-0.6966,0.6966,200
0.0,-0.61541,0.61541,200
0.25,-0.61738,0.61738,200
0.5,-0.63503,0.63503,200
0.75,-0.65365,0.65365,200
1.0,-0.67387,0.67387,200
1.25,-0.70031,0.70031,200
1.5,-0.71834,0.71834,200
1.75,-0.73659,0.73659,200
2.0,-0.75751,0.75751,200
2.25,-0.7858,0.7858,200
2.5,-0.80311,0.80311,200
2.75,-0.82235,0.82235,200
3.0,-0.84812,0.84812,200
3.25,-0.87321,0.87321,200
3.5,-0.89206,0.89206,200
3.75,-0.91594,0.91594,200
4.0,-0.9486,0.9486,200
4.25,-0.96778,0.96778,200
4.5,-0.99188,0.99188,200
4.75,-1.0338,1.0338,200
5.0,-1.05549,1.05549,200
5.25,-1.08313,1.08313,200
5.5,-1.12926,1.12926,200
5.75,-1.17657,1.17657,200
6.0,-1.21464,1.21464,200
6.25,-1.26294,1.26294,200
6.5,-1.35416,1.35416,200
6.75,-1.39858,1.39858,200
7.0,-1.44854,1.44854,200
7.25,-1.5073,1.5073,200
7.5,-1.57851,1.57851,200
7.75,-1.68943,1.68943,200
8.0,-1.74784,1.74784,200
8.25,-1.80761,1.80761,200
8.5,-1.87546,1.87546,200
8.75,-1.9445,1.9445,200
9.0,-2.01662,2.01662,200
9.25,-2.09485,2.09485,200
9.5,-2.17789,2.17789,200
9.75,-2.26377,2.26377,200
10.0,-2.36449,2.36449,200
10.25,-2.47995,2.47995,200
10.5,-2.62365,2.62365,200
10.75,-2.60403,2.60403,200
11.0,-2.72517,2.72517,200
11.25,-2.91005,2.91005,200
11.5,-2.92205,2.92205,200
11.75,-3.14473,3.14473,200
12.0,-3.1725,3.1725,200
12.25,-3.34251,3.34251,200
12.5,-3.38299,3.38299,200
12.75,-3.53919,3.53919,200
13.0,-3.57446,3.57446,200
13.25,-3.62556,3.62556,200
13.5,-3.6916,3.6916,200
13.75,-3.59395,3.59395,200
14.0,-3.64103,3.64103,200
14.25,-3.51135,3.51135,200
14.5,-3.56437,3.56437,200
14.75,-3.28916,3.28916,200
15.0,-3.08171,3.08171,200
15.25,-3.1662,3.1662,200
15.5,-2.90076,2.90076,200
15.75,-2.82731,2.82731,200
16.0,-2.8922,2.8922,200
16.25,-2.72682,2.72682,200
16.5,-2.65465,2.65465,200
16.75,-2.66511,2.66511,200
17.0,-2.67262,2.67262,200
17.25,-2.57865,2.57865,200
17.5,-2.519,2.519,200
17.75,-2.48852,2.48852,200
18.0,-2.49368,2.49368,200
18.25,-2.53968,2.53968,200
18.5,-2.47134,2.47134,200
18.75,-2.42052,2.42052,200
19.0,-2.38012,2.38012,200
19.25,-2.34685,2.34685,200
19.5,-2.32116,2.32116,200
19.75,-2.29743,2.29743,200
20.0,-2.27504,2.27504,200
20.25,-2.25122,2.25122,200
20.5,-2.23668,2.23668,200
20.75,-2.22923,2.22923,200
21.0,-2.25031,2.25031,200
21.5,-2.00479,2.00479,200
21.75,-1.9926,1.9926,200
22.0,-2.0255,2.0255,200
22.25,-2.02099,2.02099,200
22.5,-1.99311,1.99311,200
22.75,-1.97377,1.97377,200
23.0,-1.97907,1.97907,200
23.25,-1.99872,1.99872,200
23.5,-2.05763,2.05763,200
23.75,-2.02941,2.02941,200
24.0,-2.00401,2.00401,200
24.25,-2.00831,2.00831,200
24.5,-2.03598,2.03598,200
24.75,-2.08889,2.08889,200
25.0,-2.05772,2.05772,200
25.25,-2.03917,2.03917,200
25.5,-2.04745,2.04745,200
25.75,-2.08643,2.08643,200
26.0,-2.12546,2.12546,200
26.25,-2.09974,2.09974,200
26.5,-2.07835,2.07835,200
26.75,-2.07798,2.07798,200
27.0,-2.10214,2.10214,200
27.25,-2.16085,2.16085,200
27.5,-2.13979,2.13979,200
27.75,-2.11861,2.11861,200
28.0,-2.12128,2.12128,200
28.25,-2.13524,2.13524,200
28.5,-2.16404,2.16404,200
28.75,-2.21474,2.21474,200
29.0,-2.18126,2.18126,200
29.25,-2.16185,2.16185,200
29.75,-2.17494,2.17494,200
30.0,-2.20759,2.20759,200
