angle_deg,cp_min,abs_cp_min,n_points
-15.0,-1.27093,1.27093,200
-14.75,-1.26977,1.26977,200
-14.5,-1.26509,1.26509,200
-14.25,-1.27367,1.27367,200
-14.0,-1.29364,1.29364,200
-13.75,-1.32513,1.32513,200
-13.5,-1.33821,1.33821,200
-13.25,-1.38324,1.38324,200
-13.0,-1.34692,1.34692,200
-12.75,-1.32196,1.32196,200
-12.5,-1.30318,1.30318,200
-12.25,-1.30409,1.30409,200
-12.0,-1.31006,1.31006,200
-11.75,-1.33875,1.33875,200
-11.5,-1.35649,1.35649,200
-11.25,-1.42159,1.42159,200
-11.0,-1.28463,1.28463,200
-10.75,-1.34341,1.34341,200
-10.5,-1.2846,1.2846,200
-10.25,-1.33123,1.33123,200
-10.0,-1.27137,1.27137,200
-9.75,-1.31639,1.31639,200
-9.5,-1.37649,1.37649,200
-9.25,-1.30427,1.30427,200
-9.0,-1.27814,1.27814,200
-8.75,-1.2569,1.2569,200
-8.5,-1.30119,1.30119,200
-8.25,-1.26372,1.26372,200
-8.0,-1.36127,1.36127,200
-7.75,-1.28613,1.28613,200
-7.5,-1.25138,1.25138,200
-7.25,-1.25555,1.25555,200
-7.0,-1.26297,1.26297,200
-6.75,-1.28697,1.28697,200
-6.5,-1.37627,1.37627,200
-6.25,-1.28842,1.28842,200
-6.0,-1.30145,1.30145,200
-5.75,-1.3323,1.3323,200
-5.5,-1.35461,1.35461,200
-5.25,-1.33884,1.33884,200
-5.0,-1.36835,1.36835,200
-4.75,-1.35453,1.35453,200
-4.5,-1.34074,1.34074,200
-4.25,-1.33388,1.33388,200
-4.0,-1.3373,1.3373,200
-3.75,-1.33161,1.33161,200
-3.25,-1.27784,1.27784,200
-3.0,-1.27129,1.27129,200
-2.5,-1.622,1.622,200
-2.25,-1.62258,1.62258,200
-2.0,-1.61893,1.61893,200
-1.75,-1.64685,1.64685,200
-1.5,-1.61023,1.61023,200
-1.25,-1.61122,1.61122,200
-1.0,-1.53221,1.53221,200
-0.75,-1.52174,1.52174,200
-0.5,-1.4808,1.4808,200
-0.25,-1.42661,1.42661,200
0.0,-1.41538,1.41538,200
0.25,-1.28578,1.28578,200
0.5,-1.05929,1.05929,200
0.75,-0.88954,0.88954,200
1.0,-0.67717,0.67717,200
1.25,-0.54775,0.54775,200
1.5,-0.57257,0.57257,200
1.75,-0.59867,0.59867,200
2.0,-0.63379,0.63379,200
2.25,-0.67923,0.67923,200
2.5,-0.72886,0.72886,200
2.75,-0.78775,0.78775,200
3.0,-0.84833,0.84833,200
3.25,-0.93551,0.93551,200
3.5,-1.02579,1.02579,200
3.75,-1.17499,1.17499,200
4.0,-1.4058,1.4058,200
4.25,-1.65165,1.65165,200
4.5,-1.90934,1.90934,200
4.75,-2.17226,2.17226,200
5.0,-2.4407,2.4407,200
5.25,-2.73779,2.73779,200
5.5,-3.03282,3.03282,200
5.75,-3.29484,3.29484,200
6.0,-3.48706,3.48706,200
6.25,-3.6271,3.6271,200
6.5,-3.73304,3.73304,200
6.75,-3.85017,3.85017,200
7.0,-4.13166,4.13166,200
7.25,-4.3199,4.3199,200
7.5,-4.64803,4.64803,200
7.75,-4.9422,4.9422,200
8.0,-5.32119,5.32119,200
8.25,-5.55813,5.55813,200
8.5,-5.75815,5.75815,200
8.75,-5.89236,5.89236,200
9.0,-5.95244,5.95244,200
9.25,-5.882,5.882,200
9.5,-5.84439,5.84439,200
