angle_deg,cp_min,abs_cp_min,n_points
-10.25,-2.10664,2.10664,320
-10.0,-2.16605,2.16605,320
-9.75,-2.233,2.233,320
-9.5,-2.30462,2.30462,320
-9.25,-2.37465,2.37465,320
-9.0,-2.45258,2.45258,320
-8.75,-2.54415,2.54415,320
-8.5,-2.64451,2.64451,320
-8.25,-2.76876,2.76876,320
-8.0,-3.00493,3.00493,320
-7.75,-3.74435,3.74435,320
-7.5,-3.97758,3.97758,320
-7.25,-3.82714,3.82714,320
-7.0,-3.76125,3.76125,320
-6.75,-3.59863,3.59863,320
-6.5,-3.48494,3.48494,320
-6.25,-3.30698,3.30698,320
-6.0,-3.15707,3.15707,320
-5.75,-3.01188,3.01188,320
-5.5,-2.83814,2.83814,320
-5.25,-2.67171,2.67171,320
-5.0,-2.51637,2.51637,320
-4.75,-2.36678,2.36678,320
-4.5,-2.22169,2.22169,320
-4.25,-2.07862,2.07862,320
-4.0,-1.93743,1.93743,320
-3.75,-1.80128,1.80128,320
-3.5,-1.67263,1.67263,320
-3.25,-1.54832,1.54832,320
-3.0,-1.42803,1.42803,320
-2.75,-1.31387,1.31387,320
-2.5,-1.20598,1.20598,320
-2.25,-1.10087,1.10087,320
-2.0,-0.99961,0.99961,320
-1.75,-0.90404,0.90404,320
-1.5,-0.81472,0.81472,320
-1.25,-0.72951,0.72951,320
-1.0,-0.65948,0.65948,320
-0.75,-0.67812,0.67812,320
-0.5,-0.69669,0.69669,320
-0.25,-0.73252,0.73252,320
0.0,-0.7528,0.7528,320
0.1,-0.76153,0.76153,320
0.2,-0.77,0.77,320
0.3,-0.77875,0.77875,320
0.4,-0.78704,0.78704,320
0.5,-0.79609,0.79609,320
0.6,-0.80465,0.80465,320
0.7,-0.81412,0.81412,320
0.8,-0.82271,0.82271,320
0.9,-0.83219,0.83219,320
1.0,-0.84074,0.84074,320
1.1,-0.85021,0.85021,320
1.2,-0.859,0.859,320
1.3,-0.86859,0.86859,320
1.4,-0.87778,0.87778,320
1.5,-0.88751,0.88751,320
1.6,-0.89697,0.89697,320
1.7,-0.90677,0.90677,320
1.8,-0.91684,0.91684,320
1.9,-0.92692,0.92692,320
2.0,-0.93691,0.93691,320
2.1,-0.94713,0.94713,320
2.2,-0.95696,0.95696,320
2.3,-0.96737,0.96737,320
2.4,-0.97764,0.97764,320
2.5,-0.98883,0.98883,320
2.6,-0.99925,0.99925,320
2.7,-1.01075,1.01075,320
2.8,-1.02175,1.02175,320
2.9,-1.03325,1.03325,320
3.0,-1.04447,1.04447,320
3.1,-1.05573,1.05573,320
3.2,-1.06828,1.06828,320
3.3,-1.08037,1.08037,320
3.4,-1.09319,1.09319,320
3.5,-1.10511,1.10511,320
3.6,-1.11789,1.11789,320
3.7,-1.13088,1.13088,320
3.8,-1.14412,1.14412,320
3.9,-1.15816,1.15816,320
4.0,-1.17259,1.17259,320
4.1,-1.18839,1.18839,320
4.2,-1.2038,1.2038,320
4.3,-1.2207,1.2207,320
4.4,-1.2394,1.2394,320
4.5,-1.25944,1.25944,320
4.6,-1.28391,1.28391,320
4.7,-1.30852,1.30852,320
4.8,-1.33683,1.33683,320
4.9,-1.36514,1.36514,320
5.0,-1.39509,1.39509,320
5.1,-1.42744,1.42744,320
5.2,-1.46038,1.46038,320
5.3,-1.49508,1.49508,320
5.4,-1.52892,1.52892,320
5.5,-1.56402,1.56402,320
5.6,-1.60202,1.60202,320
5.7,-1.63933,1.63933,320
5.8,-1.67909,1.67909,320
5.9,-1.7178,1.7178,320
6.0,-1.75852,1.75852,320
6.1,-1.79756,1.79756,320
6.2,-1.84026,1.84026,320
6.3,-1.88242,1.88242,320
6.4,-1.92547,1.92547,320
6.5,-1.96955,1.96955,320
6.6,-2.01282,2.01282,320
6.7,-2.05823,2.05823,320
6.8,-2.10623,2.10623,320
6.9,-2.15143,2.15143,320
7.0,-2.19996,2.19996,320
7.1,-2.2464,2.2464,320
7.2,-2.2942,2.2942,320
7.3,-2.34181,2.34181,320
7.4,-2.38875,2.38875,320
7.5,-2.43566,2.43566,320
7.6,-2.48384,2.48384,320
7.7,-2.53317,2.53317,320
7.8,-2.5838,2.5838,320
7.9,-2.63324,2.63324,320
8.0,-2.68268,2.68268,320
8.1,-2.73165,2.73165,320
8.2,-2.78234,2.78234,320
8.3,-2.8323,2.8323,320
8.4,-2.8823,2.8823,320
8.5,-2.93023,2.93023,320
8.6,-2.97924,2.97924,320
8.7,-3.02956,3.02956,320
8.8,-3.07606,3.07606,320
8.9,-3.12549,3.12549,320
9.0,-3.17098,3.17098,320
9.1,-3.21924,3.21924,320
9.2,-3.26159,3.26159,320
9.3,-3.30283,3.30283,320
9.4,-3.34286,3.34286,320
9.5,-3.38596,3.38596,320
9.6,-3.42451,3.42451,320
9.7,-3.46509,3.46509,320
9.8,-3.50024,3.50024,320
9.9,-3.53914,3.53914,320
10.0,-3.57636,3.57636,320
10.1,-3.61165,3.61165,320
10.2,-3.64654,3.64654,320
10.3,-3.68251,3.68251,320
